,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
179,Responsable restauration/gérant, Hôtellerie et restauration ,1,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,"Technicien ,Service de restauration ",non spécifié,"Francais : Courant, Anglais : Moyen",non spécifié
180,Chef d'entretien Hôtellerie, Hôtellerie et restauration ,2,04/03/2024,non spécifié, ERRACHIDIA ,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
181,Gouvernante, Hôtellerie et restauration ,1,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,"Technicien ,Hébergement ",non spécifié,"Francais : Bon, Arabe : Courant",non spécifié
182,Employé d'étage, Hôtellerie et restauration ,3,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,"Formation qualifiante ,Employé d'étages ",non spécifié,non spécifié,non spécifié
183,Econome gestionnaire (restauration collective), Hôtellerie et restauration ,1,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,"Technicien spécialisé ,Gestion hôtelière et touristique ",non spécifié,Francais : Courant,non spécifié
184,Agent de sécurité et de surveillance, Hôtellerie et restauration ,2,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
185,Plongeur, Hôtellerie et restauration ,2,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda Diplôme: Diplôme de qualification et plus,"Diplôme de qualification professionnelle ,Agent de restauration ",non spécifié,non spécifié,non spécifié
186,Cuisinier, Hôtellerie et restauration ,4,04/03/2024,non spécifié, ERRACHIDIA ,CI,Lieu de travail: Zayda,"Technicien ,Service de restauration ",non spécifié,non spécifié,non spécifié
187,Téléconseiller, Services fournis principalement aux entreprises ,20,04/03/2024,05/03/2024, SALE ,CI,non spécifié,non spécifié,non spécifié,Arabe : Langue maternelle,Bac ou bac+2
188,Responsable support client, Services fournis principalement aux entreprises ,40,04/03/2024,25/03/2024, CASA-AIN CHOCK HAY HASSANI ,CDD,non spécifié,Bac + 2,non spécifié,Francais : Bon,non spécifié
189,Attaché commercial auprès des entreprises et / ou des collectivités," Production et distribution d'électricité, de gaz et de chaleur ",2,02/03/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,"Bac + 3, bachelor",(1 an - 2 ans),"Arabe : Bon, Francais : Bon",non spécifié
190,Commercial/Commerciale, Services fournis principalement aux entreprises ,100,02/03/2024,11/03/2024, CASA-AIN CHOCK HAY HASSANI ,CDI,"Traite les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Propose et vend des services, produits ou solutions Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline",Bac + 2,non spécifié,Francais : Courant,non spécifié
191,Chargé de la communication et de l'information, Services fournis principalement aux entreprises ,100,01/03/2024,11/03/2024, CASA-AIN CHOCK HAY HASSANI ,CDI,"Traite les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Propose et vend des services, produits ou solutions Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline",Baccalauréat,non spécifié,Francais : Bon,non spécifié
192,Secrétaire de direction, Services fournis principalement aux entreprises ,1,01/03/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,non spécifié,Technicien spécialisé,(6 mois - 1 an),"Francais : Bon, Arabe : Langue maternelle",non spécifié
193,Téléconseiller, Services fournis principalement aux entreprises ,100,01/03/2024,non spécifié, MOHAMMEDIA ,CDI,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
194,Téléconseiller, Services fournis principalement aux entreprises ,80,01/03/2024,non spécifié, PLUSIEURS VILLES,CDI,"Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline",Baccalauréat,non spécifié,non spécifié,non spécifié
195,Téléconseiller, Services fournis principalement aux entreprises ,80,01/03/2024,11/03/2024, CASA-AIN CHOCK HAY HASSANI ,CDI,-Gestion de la relation client -Communication -Utilisation des outils informatiques ,Baccalauréat,non spécifié,Francais : Courant,non spécifié
196,Employé des services commerciaux, Services fournis principalement aux entreprises ,40,01/03/2024,06/03/2024, CASA-AIN CHOCK HAY HASSANI ,CDI,"-Traite les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Propose et vend des services, produits ou solutions Tâches / Activités : Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline ","Diplôme de qualification professionnelle ,Certificat d'études primaires ou Certificat équivalent (cycle intermédiaire) ",(6 mois - 1 an),Francais : Bon,non spécifié
197,Electricien de maintenance," Production et distribution d'électricité, de gaz et de chaleur ",5,01/03/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CI,non spécifié,Technicien,(6 mois - 1 an),"Francais : Bon, Arabe : Bon",non spécifié
198,Aide comptable," Production et distribution d'électricité, de gaz et de chaleur ",1,01/03/2024,non spécifié, EL JADIDA UNIVERSITE CHOUAIB D,CI,non spécifié,"Bac + 3, bachelor",(moins de 6 mois),"Arabe : Bon, Francais : Bon",non spécifié
199,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,25,01/03/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Baccalauréat,(moins de 6 mois),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
200,Opérateur sur machines automatiques en production électrique ou électronique.," Edition, imprimerie, reproduction ",3,01/03/2024,18/03/2024, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,Baccalauréat,(moins de 6 mois),"Arabe : Bon, Francais : Moyen",non spécifié
201,Technicien des industries graphiques," Edition, imprimerie, reproduction ",2,01/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien supérieur ,Infographie ",non spécifié,Francais : Moyen,non spécifié
202,Employé de banque débutant, Intermédiation financière ,3,01/03/2024,non spécifié, OUAD EDDAHAB,CI,non spécifié,"Bac + 2 ,Administration et finances ",non spécifié,"Francais : Courant, Arabe : Langue maternelle",non spécifié
203,Employé polyvalent de restauration , Hôtellerie et restauration ,49,01/03/2024,non spécifié, NADOR ,CDD,non spécifié,Baccalauréat,non spécifié,"Tarifit : Courant, Francais : Courant, Arabe : Courant",non spécifié
204,Monteur câbleur en électronique., Fabrication de machines et appareils électriques ,150,01/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
205,Commercial/Commerciale, Commerce de gros et intermédiaires du commerce ,4,01/03/2024,non spécifié, MEKNES-EL MENZEH,CDD,réception des commandes – l’édition information des bls- préparation et suivi des commandes Etablissement des états clients –arrêts de caisse SEXE : FEMININ,"Technicien spécialisé ,Commerce et Gestion ",non spécifié,Francais : Bon,non spécifié
206,Dessinateur du bâtiment," Fabrication de meubles, industries diverses ",3,01/03/2024,02/03/2024, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Dessin de bâtiment ",non spécifié,Francais : Bon,non spécifié
207,Assistant du Bâtiment et travaux publics, Services fournis principalement aux entreprises ,75,01/03/2024,15/03/2024, SKHIRATE TEMARA ,CDD,non spécifié,non spécifié,non spécifié,Arabe : Langue maternelle,SANS DIPLOME.
208,Téléconseiller, Services fournis principalement aux entreprises ,90,01/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,non spécifié,Baccalauréat,non spécifié,Francais : Bon,non spécifié
209,Serveur, Hôtellerie et restauration ,2,01/03/2024,02/03/2024, KHENIFRA ,CI,non spécifié,non spécifié,(6 mois - 1 an),Arabe : Langue maternelle,non spécifié
210,Barman, Hôtellerie et restauration ,2,01/03/2024,02/03/2024, KHENIFRA ,CI,non spécifié,non spécifié,(6 mois - 1 an),non spécifié,non spécifié
211,Préparateur en pharmacie, Santé et action sociale ,2,01/03/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,Salaire à discuter selon compétences et expériences,Bac + 2,non spécifié,Francais : Moyen,"Bac+2 scientifique, résident à Daoudiate"
212,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,20,01/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,Agent De Sécurité / AIN SEBAA ZENATA,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
213,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,8,01/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,OPERATEUR TELE SURVEILLANCE,Baccalauréat,non spécifié,non spécifié,non spécifié
214,Téléconseiller, Services fournis principalement aux entreprises ,50,01/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,"4500 dhs + PRIME VARIABLE -Traiter les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Proposer et vendre des services, produits ou solutions Tâches / Activités : Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline ",Baccalauréat,non spécifié,Francais : Bon,bon français
215,Enseignant des écoles, Education ,1,29/02/2024,08/03/2024, FES,CI,ENSEIGNANTE BILINGUE,non spécifié,non spécifié,"Arabe : Courant, Francais : Bon",BAC ET PLUS
216,Monteur câbleur en électronique., Services fournis principalement aux entreprises ,60,29/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CDD,Câbleuses ,Sans diplôme,non spécifié,non spécifié,non spécifié
217,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,1,29/02/2024,11/03/2024, MARRAKECH GUELIZ-ENNAKHIL,CDI,"Assurer l'accueil des clients, gérer le planning des réservations, départ des clients",non spécifié,(6 mois - 1 an),"Anglais : Bon, Francais : Bon","Diplôme en Tourisme, bonne présentation, sens de communication, sexe Féminin, relation clientèle, expérience dans un poste similaire "
218,Infirmier polyvalent , Santé et action sociale ,4,29/02/2024,08/03/2024, FES,CI,"- organiser le planning des heures de dialyse des patients, -le modifie en fonction des impératifs particuliers de chacun, - organise l'accueil des vacanciers. - informer son administration du relevé d'activité du mois, et des mouvements des patients. organiser le planning des infirmières de l'unité. - préparer le générateur, - contrôler la stérilisation, - Contrôler la traçabilité des tests de contrôle ...",non spécifié,non spécifié,Francais : Moyen,Aide soignante ou Ifirmière polyvalente
219,Opérateur sur machines automatiques en production électrique ou électronique., Industrie du caoutchouc et des plastiques ,10,29/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",non spécifié,Francais : Moyen,non spécifié
220,Employé de bureau, Autres ,4,29/02/2024,non spécifié, NADOR ,CI,non spécifié,Baccalauréat,non spécifié,non spécifié,non spécifié
221,Comptable, Services fournis principalement aux entreprises ,1,29/02/2024,non spécifié, AZILAL ,CDI,la sté est sise à Oued Laabid Début de travail : après Ramadan ,"Technicien ,Comptable d'entreprises ",(1 an - 2 ans),Francais : Courant,non spécifié
222,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,20,29/02/2024,non spécifié, KENITRA ,CI,non spécifié,Baccalauréat,non spécifié,Francais : Moyen,non spécifié
223,Téléconseiller, Services fournis principalement aux entreprises ,80,29/02/2024,11/03/2024, PLUSIEURS VILLES,CDI,"Chargé de clientèle ayant un niveau bac et plus Missions : -Traite les interactions clients (via appels, mails, courrier, chat, réseaux sociaux, fiches, dossiers…) et assure leur satisfaction - Propose et vend des services, produits ou solutions Tâches / Activités : Réception appel / assistance, conseil, renseignement, information, fidélisation, hotline Lieu de travail : CASABLANCA sidi Maarouf ( casa near shore)- centre-ville (place Mohammed 5) et Mohammedia FRANCOPHONE (B1/B2) Salaire mensuel proposé : …4500 + PRIME VARIABLE Le transport couvre bcp de trajets sur le Grand Casablanca (sauf Bouskoura et Rahma). Si cette offre vous intéresse postuler et envoyer votre cv à : anapecauh2@gmail.com en mentionnant en objet du mail : chargé de clientèle ",Baccalauréat,non spécifié,Francais : Courant,"Gestion de la relation client,Communication,Utilisation des outils informatiques"
224,Sondeur-foreur, Services fournis principalement aux entreprises ,1,29/02/2024,non spécifié, AZILAL ,CDI,la sté est sise à Oued Laabid Début de travail : après Ramadan,"Technicien spécialisé ,Hydraulique ",non spécifié,Francais : Bon,non spécifié
225,Cuisinier, Hôtellerie et restauration ,1,29/02/2024,non spécifié, ESSAOUIRA ,CI,Réaliser des plats en sachant équilibrer la prestation d'un point de vue économique Choisir les produits qui serviront à leur élaboration Contribuer à l'évolution de la carte / Menu. Appliquer et faire appliquer les règles d'hygiène et de sécurité alimentaire,non spécifié,non spécifié,"Francais : Moyen, Arabe : Langue maternelle",CQP OFPPT
226,Opérateur / conducteur de machine d'ennoblissement, Industrie textile ,3,29/02/2024,non spécifié, CASA-NOUACER,CI,non spécifié,Technicien,non spécifié,non spécifié,non spécifié
227,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,1,29/02/2024,non spécifié, ESSAOUIRA ,CI,"Assurer l'accueil des clients à l'hôtel tout au long du séjour et leur fournir toute information nécessaire . Planifier les réservations et l'occupation des chambres. Effectuer la comptabilité journalière, la facturation des prestations, l'encaissement et le contrôle des paiements. Organiser les relations avec les autres services.",non spécifié,non spécifié,"Francais : Bon, Anglais : Bon",Accueil et communication. Administration hôtelière. Vente.
228,Employé de gestion administrative," Fabrication d'équipements de Radio, Télévision et Communication ",1,28/02/2024,non spécifié, CASA-SIDI BERNOUSSI,CI,non spécifié,non spécifié,non spécifié,Francais : Bon,non spécifié
229,Menuisier., Construction ,2,28/02/2024,non spécifié, FES,CI,"Le candidat intéresser par ce poste doit répondre aux exigences suivantes: - Examiner et analyser la commande - Prendre les mesures et réaliser des relevés dimensionnels sur site - S’approvisionner en matières nécessaires en nature, et en nombre, (profilés, accessoires...) - Débiter les éléments - Découper des barres en aluminium, assembler et monter des éléments de menuiserie - Monter les vitres et fermetures - Installer une serrure et des accessoires de fermeture - Poser et finir les articles - Assurer l’étanchéité des éléments montés - Vérifier le fonctionnement des accessoires mobiles, de l’étanchéité et de l’isolation; -- Proposer des variantes de modes opératoires pour optimiser le processus de travail - Exécuter des travaux de façonnage - Exécuter des travaux de coupage et de soudage - Exécuter des travaux d’usinage sur des machines-outils - Appliquer un programme de maintenance préventive de l’équipement",non spécifié,non spécifié,non spécifié,Qualification et plus en menuiserie d'aluminum
230,Dessinateur du bâtiment, Construction ,1,28/02/2024,non spécifié, EL JADIDA ,CI,non spécifié,"Technicien ,Dessin de bâtiment ",(moins de 6 mois),"Arabe : Langue maternelle, Francais : Bon",non spécifié
231,Cadre technique d'hygiène et sécurité, Services fournis principalement aux entreprises ,1,28/02/2024,non spécifié, RHAMNA,CDI,"• Développe, le cas échéant, des procédures, des outils et des processus HSE spécifiques conformément au programme. • Effectuer des audits, des examens et des inspections HSE réguliers sur le site pour assurer la conformité avec tous les plans et procédures HSE applicables. • Fournit une communication continue à la direction concernant la mise en œuvre et l'efficacité de la performance du programme HSE avec les actions proactives et / ou correctives recommandées associées. • Prend en charge les propositions d'appel d'offres et examine les livrables de l'entrepreneur • S'assurer que des plans existent pour la préparation aux situations d'urgence et tester les plans pour s'assurer qu'ils sont adéquats • Assure la direction, le leadership, l'encadrement et le mentorat d'une équipe de superviseurs et d'inspecteurs HSE. ",non spécifié,non spécifié,non spécifié,non spécifié
232,Responsable achats et sourcing , Services fournis principalement aux entreprises ,5,28/02/2024,non spécifié, PLUSIEURS VILLES,CI,Savoir établir un diagnostic Connaissances en gestion de caisse et suivi des dépenses,non spécifié,non spécifié,non spécifié,non spécifié
233,Chef de Projet SI, Services fournis principalement aux entreprises ,3,28/02/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CI,Connaissances techniques : réseau et système prioritairement et téléphonie Savoir diagnostiquer/analyser les incidents et les problèmes,Bac + 2,non spécifié,non spécifié,non spécifié
234,Infirmier polyvalent , Services fournis principalement aux entreprises ,1,28/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,Bonne connaissance du code de la médecine du travail Maîtrise des outils bureautiques,non spécifié,non spécifié,non spécifié,non spécifié
235,Développeur, Construction ,1,28/02/2024,29/02/2024, AGADIR,CDD,non spécifié,"Technicien spécialisé ,Techniques de développement Informatique ",(6 mois - 1 an),Francais : Bon,non spécifié
236,Magasinier d'entrepôt, Commerce et réparation automobile ,1,28/02/2024,non spécifié, MEKNES-EL MENZEH,CI,Vente des pièces de rechange et commande de pièces.,"Technicien spécialisé ,Technico-commercial en vente de véhicules et pièces de rechange ",(1 an - 2 ans),Francais : Moyen,non spécifié
237,Secrétaire bureautique polyvalent, Santé et action sociale ,1,28/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",(moins de 6 mois),"Francais : Moyen, Arabe : Langue maternelle",non spécifié
238,Téléconseiller, Services fournis principalement aux entreprises ,3,28/02/2024,non spécifié, KENITRA ,Choix Multiple,non spécifié,Bac + 2,non spécifié,Francais : Courant,non spécifié
239,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,2,28/02/2024,non spécifié, OUARZAZATE ,CDD,non spécifié,Baccalauréat,(2 ans - 3 ans),"Arabe : Moyen, Francais : Moyen",non spécifié
240,Secrétaire de direction, Conseil en systèmes informatiques ,1,28/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Action commerciale et Marketing ",non spécifié,"Francais : Courant, Arabe : Courant, Anglais : Moyen",non spécifié
241,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,25,28/02/2024,non spécifié, CASABLANCA-ANFA,CI,- Prospecter des clients - Prospection Terain - Suivi client,Baccalauréat,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
242,Potier," Fabrication de meubles, industries diverses ",5,27/02/2024,non spécifié, LARACHE ,CI,non spécifié,"Diplôme de qualification professionnelle ,Ouvrier qualifié ébéniste ",non spécifié,Arabe : Langue maternelle,non spécifié
243,Traducteur interprète, Services fournis principalement aux entreprises ,1,27/02/2024,29/02/2024, EL JADIDA UNIVERSITE CHOUAIB D,CI,non spécifié,Bac + 2,non spécifié,Anglais : Courant,non spécifié
244,Monteur câbleur en construction électrique, Industrie automobile ,30,27/02/2024,non spécifié, AGADIR,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,"Arabe : Bon, Francais : Moyen",non spécifié
245,Enseignant des écoles, Education ,1,27/02/2024,29/02/2024, EL JADIDA UNIVERSITE CHOUAIB D,CDD,non spécifié,Bac + 2,(6 mois - 1 an),Anglais : Courant,non spécifié
246,Assistant familial, Activités des ménages en tant qu'employeurs de personnel domestique ,10,27/02/2024,non spécifié, RABAT AGDAL,CDI,Répondre au téléphone en Anglais - Nettoyer les sols - Balayer et aspirer les pièces - Laver le linge - Dépoussiérer les meubles - Repasser et ranger - S’occuper des enfants - Cuisiner pour enfants et invités. - Respecter les normes d'hygiène et de sécurité. - Prendre en compte les consignes de l’employeur ,non spécifié,non spécifié,non spécifié,non spécifié
247,Magasinier d'entrepôt, Commerce de détail et réparation d'articles domestiques ,4,27/02/2024,non spécifié, TANGER-ASSILAH,Choix Multiple,non spécifié,Bac + 2,(1 an - 2 ans),"Arabe : Bon, Francais : Bon",non spécifié
248,Vendeur/Vendeuse, Commerce de gros et intermédiaires du commerce ,6,27/02/2024,non spécifié, TETOUAN ,CDD,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
249,Commercial/Commerciale, Auxiliaires financiers et d'assurance ,1,27/02/2024,non spécifié, LARACHE ,CI,"Gérer les dossiers de crédit, Accueillir les clients de l'agence","Technicien spécialisé ,Commerce et Gestion ",non spécifié,Francais : Bon,non spécifié
250,Employé de gestion administrative, Hôtellerie et restauration ,2,27/02/2024,11/03/2024, KENITRA ,CI,non spécifié,"Bac + 3, bachelor ,Administration des entreprises ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
251,Opérateur de laboratoire des matières plastiques et caoutchouc, Industrie automobile ,75,27/02/2024,04/03/2024, TANGER-FAHS-ANJRA,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
252,Conseiller en voyage (billettiste), Hôtellerie et restauration ,2,27/02/2024,non spécifié, MARRAKACH - MENARA,CDD,Salaire : 3500-5000,"Technicien spécialisé ,Agent de voyage et du tourisme ",(2 ans - 3 ans),"Francais : Bon, Anglais : Moyen, Espagnol : Courant",non spécifié
253,Maçon polyvalent, Services fournis principalement aux entreprises ,9,27/02/2024,06/03/2024, EL JADIDA UNIVERSITE CHOUAIB D,CDI,non spécifié,non spécifié,(1 an - 2 ans),non spécifié,non spécifié
254,Commercial/Commerciale, Services fournis principalement aux entreprises ,1,27/02/2024,non spécifié, CASABLANCA-ANFA,CDI,non spécifié,"Technicien spécialisé ,Commerce international ",non spécifié,"Francais : Bon, Anglais : Moyen",non spécifié
255,Commercial/Commerciale, Services fournis principalement aux entreprises ,1,27/02/2024,non spécifié, MARRAKECH GUELIZ-ENNAKHIL,CDI,non spécifié,Bac + 2,non spécifié,Francais : Bon,non spécifié
256,Enseignant des écoles, Education ,1,27/02/2024,non spécifié, BOUJDOUR ,CI,-Assurer un encadrement pédagogique des classes. -Être une personne responsable et proactive. -Passionnée par l'éducation. -Avoir un bon niveau de français. -Effectuer des évaluation pour contrôler le niveau des élèves. ,Bac + 2,(moins de 6 mois),"Francais : Bon, Arabe : Courant",non spécifié
257,Opérateur sur machine mécanisée1 de câblage , Industrie automobile ,50,27/02/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
258,Représentant auprès des particuliers, Education ,20,27/02/2024,13/03/2024, MEDIOUNA,CDD,non spécifié,"Technicien ,Agent technique de vente ",(1 an - 2 ans),"Francais : Bon, Arabe : Bon",non spécifié
259,Responsable de maintenance industrielle, Industrie chimique ,1,27/02/2024,non spécifié, CASA-NOUACER,CDI,chargé de superviser et de coordonner toutes les activités de maintenance préventive et corrective responsable de garantir le bon fonctionnement des équipements et des installations ,Bac + 2,(10 ans - 15 ans),non spécifié,non spécifié
260,Responsable d'entrepôt de magasinage, Industrie chimique ,1,27/02/2024,non spécifié, CASA-NOUACER,CDI,"chargé de superviser et de gérer l'ensemble des activités liées à la gestion des stocks responsable de garantir que les stocks sont gérés de manière efficace et efficiente, assurer la disponibilité des produits tout en minimisant les coûts et les risques liés à la gestion des stocks","Bac + 3, bachelor ,Génie logistique ",(3 ans - 5 ans),"Anglais : Bon, Francais : Courant",non spécifié
261,Magasinier d'entrepôt, Industries alimentaires ,1,27/02/2024,non spécifié, AGADIR,CDD,non spécifié,"Technicien spécialisé ,Comptabilité et Gestion ",non spécifié,Francais : Bon,non spécifié
262,Prothésiste dentaire, Santé et action sociale ,1,26/02/2024,25/03/2024, RABAT AGDAL,CI,"- Assistance au fauteuil, préparation des instruments et des substances nécessaires aux interventions, décontamination, stérilisation, hygiène du plateau technique de soins","Technicien spécialisé ,Assistance dentaire ",(6 mois - 1 an),Francais : Moyen,non spécifié
263,Opérateur sur machines automatiques en production électrique ou électronique., Construction ,80,26/02/2024,non spécifié, SETTAT ,CI,non spécifié,Diplôme de qualification professionnelle,non spécifié,"Arabe : Langue maternelle, Francais : Moyen",non spécifié
264,Chef de chantier de Batiment gros-œuvres," Captage, traitement et distribution d'eau ",1,26/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,-Suivi des travaux de génie civil et travaux de montage. -gestion de projets.,"Technicien ,Tech sp en Génie civil ",(moins de 6 mois),Francais : Bon,non spécifié
265,Electricien de maintenance," Captage, traitement et distribution d'eau ",4,26/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,-Effectuer les travaux de montage et d'essai fonctionnels des équipements mécaniques et électriques.,"Technicien ,Electricité ",non spécifié,Francais : Moyen,non spécifié
266,Commercial/Commerciale, Conseil en systèmes informatiques ,5,26/02/2024,04/03/2024, RABAT AGDAL,Choix Multiple,Taches : visite points de vente / passation des commandes Salaire : négociable,"Technicien spécialisé ,Manageur commercial ",non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
267,Technicien de laboratoire des industries graphiques, Conseil en systèmes informatiques ,5,26/02/2024,non spécifié, RABAT AGDAL,Choix Multiple,Taches : travaille sur les projets de design Salaire : négociable,"Technicien spécialisé ,Infographie ",non spécifié,"Francais : Courant, Arabe : Langue maternelle",non spécifié
268,Comptable, Conseil en systèmes informatiques ,5,26/02/2024,04/03/2024, RABAT AGDAL,Choix Multiple,taches : assurer les écriture comptable salaire : négociable,"Technicien spécialisé ,Comptable d'entreprises ",non spécifié,"Arabe : Langue maternelle, Francais : Courant",non spécifié
269,Opérateur sur machines automatiques en production électrique ou électronique., Fabrication de machines et appareils électriques ,50,26/02/2024,04/03/2024, KHENIFRA ,CI,LIEU DE TRAVAIL: (BERRECHID/BOUSKOURA/AIN SEBAA/BOUZNIKA) SALAIRE: à partir de 2300 dh,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
270,Secrétaire de direction, Autres ,1,26/02/2024,non spécifié, CASA-AL FIDA DERB SULTAN ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Francais : Bon, Arabe : Langue maternelle",non spécifié
271,Opérateur sur machines automatiques en production électrique ou électronique., Autres ,30,26/02/2024,non spécifié, TANGER-ASSILAH,Choix Multiple,non spécifié,Baccalauréat,non spécifié,"Arabe : Moyen, Francais : Moyen",non spécifié
272,Enseignant des écoles, Education ,1,26/02/2024,29/02/2024, EL JADIDA UNIVERSITE CHOUAIB D,CDD,non spécifié,Bac + 2,(1 an - 2 ans),Anglais : Courant,non spécifié
273,Aide comptable, Construction ,1,26/02/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDI,non spécifié,Technicien spécialisé,(1 an - 2 ans),"Francais : Bon, Anglais : Moyen",non spécifié
274,Operateur en maintenance industrielle, Fabrication d'autres matériels de transport ,50,26/02/2024,04/03/2024, PLUSIEURS VILLES,CI,- Avoir un diplôme Technicien ou Technicien spécialisé en filières Techniques. ,non spécifié,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
275,Animateur socio-culturel, Services fournis principalement aux entreprises ,50,26/02/2024,non spécifié, CASABLANCA-ANFA,CI," Accueil des visiteurs et réception des réclamations.  Organisation de l'espace d'accueil pour assurer une expérience agréable.  Sensibilisation efficace de la population aux projets.  Réalisation d'enquêtes sociales sur le terrain pour une collecte de données précise.  Assistance active aux autorités locales, démontrant un partenariat solide.  Documentation visuelle à travers la prise de photos pour une meilleure compréhension.  Tri, vérification et sauvegarde méticuleux des données pour une gestion efficace.  Participation proactive au suivi des chantiers, garantissant une mise en œuvre adéquate.  Rédaction soignée des procès-verbaux des sorties terrain pour une clarté et une précision maximales.  Préparation minutieuse des PV de réunions et envoi ponctuel des statistiques pour une communication transparente et rapide. ",Baccalauréat,non spécifié,"Arabe : Langue maternelle, Francais : Bon",non spécifié
276,Conducteur machine feuilles (industrie graphique), Hôtellerie et restauration ,2,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Infographie ",(6 mois - 1 an),Francais : Courant,non spécifié
277,Secrétaire bureautique spécialisé, Hôtellerie et restauration ,1,26/02/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,"Technicien spécialisé ,Technico commercial en meunerie et industrie céréalières ",(6 mois - 1 an),Francais : Courant,non spécifié
